sku_id, annual_units, case_pct, min_each_cases,units_case,case_pallet
12631,2257,0,4,42,45
34017,2248,0,4,25,45
20137,2243,0,4,14,45
24400,2239,0,4,14,45
14300,2236,0,4,30,45
24399,2229,0,4,20,45
16513,2219,0,4,18,45
42316,2202,0,4,84,45
11217.1,2200,0,4,150,45
32177,2187,0,4,20,45
33826.9,2181,0,4,10,45
23251,2167,0,4,22,45
19485,2148,0,4,16,45
32186,2139,0,4,20,45
34807,2117,0,4,2000,45
39642,2112,0,4,225,45
39788,2112,0,4,225,45
31588.9,2102,0,4,10,45
23245,2100,0,4,40,45
34810,2090,0,4,2000,45
32185,2089,0,4,20,45
39638,2081,0,4,225,45
24396,2080,0,4,18,45
24395,2071,0,4,18,45
21954,2070,0,4,24,45
33909.9,2064,0,4,16,45
37867,2063,0,4,320,45
20072,2058,0,4,20,45
27606,2053,0,4,16,45
23511,2052,0,4,108,45
10154.1,2041,0,4,160,45
20097,2041,0,4,28,45
35162,2040,0,4,54,45
32178,2036,0,4,20,45
33905.9,2032,0,4,16,45
11370.1,2031,0,4,500,45
11371.1,2031,0,4,250,45
11372.1,2031,0,4,500,45
11373.1,2031,0,4,500,45
11374.1,2031,0,4,500,45
11375.1,2031,0,4,500,45
11376.1,2031,0,4,500,45
11377.1,2031,0,4,225,45
11378.1,2031,0,4,500,45
11379.1,2031,0,4,225,45
20104,2029,0,4,20,45
35161,2027,0,4,54,45
12632,2018,0,4,32,45
34815,2018,0,4,2000,45
20098,2013,0,4,20,45
32179,2013,0,4,20,45
10497,2009,0,4,160,45
34809,2006,0,4,2000,45
33906.9,1992,0,4,17,45
32180,1984,0,4,18,45
20073,1982,0,4,18,45
20077,1974,0,4,14,45
12996,1970,0,4,44,45
20100,1969,0,4,20,45
20074,1968,0,4,22,45
12141,1964,0,4,86,45
34811,1952,0,4,2000,45
20101,1949,0,4,20,45
33891,1948,0,4,20,45
12147,1942,0,4,58,45
32187,1941,0,4,20,45
38422,1940,0,4,225,45
38502,1940,0,4,45,45
12127.1,1938,0,4,140,45
20096,1937,0,4,32,45
24402,1926,0,4,20,45
31589.9,1926,0,4,13,45
37879,1920,0,4,0,45
10153.1,1916,0,4,140,45
30565.9,1905,0,4,10,45
10149.1,1898,0,4,120,45
24401,1896,0,4,14,45
12132.1,1895,0,4,120,45
34808,1886,0,4,1930,45
34776,1867,0,4,90,45
34773,1855,0,4,90,45
39936,1849,0,4,300,45
34817,1848,0,4,36,45
34785,1825,0,4,75,45
32173,1820,0,4,20,45
33879,1810,0,4,20,45
34812,1808,0,4,2000,45
34782,1803,0,4,65,45
10148.1,1789,0,4,120,45
34813,1787,0,4,2000,45
30861.9,1786,0,4,11,45
34801,1778,0,4,100,45
10155.1,1777,0,4,120,45
18235,1776,0,4,8,45
18236,1770,0,4,8,45
31591.9,1768,0,4,10,45
34798,1765,0,4,100,45
34781,1749,0,4,105,45
34821,1738,0,4,2000,45
33908.9,1733,0,4,16,45
34775,1733,0,4,90,45
4698,1728,0,4,1440,45
4699,1728,0,4,1440,45
4700,1728,0,4,1440,45
4701,1728,0,4,1440,45
4702,1728,0,4,1440,45
4706,1728,0,4,100,45
4707,1728,0,4,144,45
4708,1728,0,4,260,45
6363,1728,0,4,2500,45
20689,1723,0,4,100,45
30566.9,1717,0,4,13,45
33878,1711,0,4,20,45
10150.1,1708,0,4,120,45
32172,1702,0,4,20,45
33904.9,1700,0,4,16,45
23228,1696,0,4,22,45
34784,1694,0,4,75,45
34790,1693,0,4,70,45
34823,1680,0,4,2000,45
34777,1678,0,4,120,45
31592.9,1676,0,4,9,45
23244,1669,0,4,50,45
24406,1663,0,4,16,45
33892,1659,0,4,20,45
34786,1658,0,4,100,45
24405,1655,0,4,20,45
10144.1,1653,0,4,120,45
36056,1653,0,4,28,45
18237,1653,0,4,8,45
34814,1643,0,4,2000,45
34806,1635,0,4,100,45
20136,1635,0,4,40,45
33827.9,1632,0,4,10,45
38516,1625,0,4,16,45
12625.1,1625,0,4,110,45
12995,1624,0,4,46,45
30567.9,1624,0,4,13,45
38517,1623,0,4,14,45
34800,1621,0,4,100,45
34774,1618,0,4,80,45
33828.9,1602,0,4,10,45
24000,1597,0,4,42,45
37869,1593,0,4,60,45
27607,1589,0,4,18,45
21955,1588,0,4,24,45
34783,1581,0,4,80,45
23512,1574,0,4,100,45
34771,1568,0,4,800,45
30862.9,1565,0,4,11,45
34778,1561,0,4,90,45
34779,1552,0,4,175,45
37871,1550,0,4,60,45
31593.9,1547,0,4,12,45
34802,1546,0,4,100,45
35163,1545,0,4,56,45
19951,1543,0,4,45,45
23227,1541,0,4,24,45
17389,1538,0,4,35,45
38466,1527,0,4,100,45
20069,1525,0,4,20,45
10143.1,1523,0,4,120,45
12633,1521,0,4,26,45
34804,1521,0,4,110,45
34787,1514,0,4,75,45
19488,1514,0,4,26,45
34788,1512,0,4,80,45
37870,1511,0,4,60,45
23232,1503,0,4,20,45
26322,1502,0,4,180,45
34799,1502,0,4,90,45
12126.1,1500,0,4,200,45
40674,1495,0,4,100,45
12626.1,1490,0,4,80,45
10163.1,1488,0,4,140,45
10164.1,1487,0,4,140,45
15294.9,1484,0,4,14,45
24403,1475,0,4,18,45
23240,1472,0,4,16,45
34803,1463,0,4,110,45
24404,1462,0,4,16,45
33880,1460,0,4,20,45
10145.1,1451,0,4,120,45
19484,1447,0,4,16,45
33893,1447,0,4,20,45
27608,1425,0,4,18,45
43234,1420,0,4,100,45
43235,1420,0,4,100,45
43236,1420,0,4,160,45
43237,1420,0,4,150,45
43238,1420,0,4,400,45
43239,1420,0,4,300,45
43240,1420,0,4,250,45
43241,1420,0,4,1100,45
43242,1420,0,4,550,45
43243,1420,0,4,50,45
21951,1419,0,4,14,45
20070,1414,0,4,20,45
34780,1407,0,4,140,45
23233,1407,0,2,18,45
23234,1397,0,2,22,45
14868.1,1381,0,2,72,45
34789,1376,0,2,100,45
35165,1375,0,2,52,45
14556.1,1367,0,2,150,45
41354,1353,0,2,120,45
10159.1,1349,0,2,140,45
10158.1,1347,0,2,120,45
20071,1347,0,2,22,45
23513,1336,0,2,100,45
39950,1324,0,2,130,45
20683,1323,0,2,200,45
15190.9,1318,0,2,32,45
11214.1,1311,0,2,130,45
23226,1306,0,2,30,45
10265.1,1305,0,2,120,45
10160.1,1303,0,2,140,45
44676,1301,0,2,220,45
41146,1300,0,2,2000,45
34805,1299,0,2,110,45
20690,1275,0,2,80,45
31173,1274,0,2,42,45
20135,1270,0,2,50,45
37860,1269,0,2,125,45
27600,1262,0,2,18,45
12148,1259,0,2,50,45
41427,1252,0,2,25,45
21953,1249,0,2,14,45
14867.1,1246,0,2,72,45
27601,1243,0,2,18,45
10165.1,1237,0,2,140,45
21952,1233,0,2,14,45
26714,1231,0,2,175,45
21930,1215,0,2,30,45
20142,1213,0,2,26,45
37090,1207,0,2,2250,45
27602,1207,0,2,20,45
33895,1207,0,2,20,45
20141,1200,0,2,24,45
41356,1198,0,2,120,45
20143,1198,0,2,24,45
21933,1193,0,2,18,45
10169.1,1187,0,2,120,45
21962,1174,0,2,2200,45
12976.1,1168,0,2,100,45
23878,1168,0,2,25,45
14865.1,1166,0,2,80,45
